TBLID,GEOID,GEONAME,PROFLN,TITLE,ESTIMATE_1,MG_ERROR_1,ESTIMATE_2,MG_ERROR_2,ESTIMATE_3,MG_ERROR_3,ESTIMATE_4,MG_ERROR_4,ESTIMATE_5,MG_ERROR_5,ESTIMATE_6,MG_ERROR_6,ESTIMATE_7,MG_ERROR_7,ESTIMATE_8,MG_ERROR_8,OCC_CODE,OCC_DESCRIPTION
EEOALL1R,,,0,EEO 1r. Detailed Census Occupation by Sex and Race/Ethnicity for Residence Geography,,,,,,,,,,,,,,,,,,
EEOALL1R,,,0.3,,,,,,"Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race","Not Hispanic or Latino, one race",,,,
EEOALL1R,,,0.4,,"Total, race and ethnicity","Total, race and ethnicity",Hispanic or Latino,Hispanic or Latino,White alone,White alone,Black or African American alone,Black or African American alone,American Indian and Alaska Native alone,American Indian and Alaska Native alone,Asian alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander alone,Balance of not Hispanic or Latino,Balance of not Hispanic or Latino,,
EEOALL1R,04000US01,Alabama,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US01,Alabama,1,Number,"2,224,605","+/-6,631","85,485","+/-1,326","1,492,135","+/-4,870","572,415","+/-4,139","10,380",+/-730,"32,695","+/-1,072",770,+/-154,"30,725","+/-1,583",0,"Total, all occupations"
EEOALL1R,04000US01,Alabama,2,Percent,100,+/-0.1,3.8,+/-0.1,67.1,+/-0.1,25.7,+/-0.2,0.5,+/-0.1,1.5,+/-0.1,0,+/-0.1,1.4,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US01,Alabama,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US01,Alabama,3,Number,"1,160,795","+/-4,324","54,780",+/-886,"809,370","+/-3,289","257,595","+/-2,405","5,500",+/-562,"17,655",+/-696,395,+/-116,"15,495",+/-990,0,"Total, all occupations"
EEOALL1R,04000US01,Alabama,4,Percent,52.2,+/-0.1,2.5,+/-0.1,36.4,+/-0.1,11.6,+/-0.1,0.2,+/-0.1,0.8,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US01,Alabama,4.9,Female,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US01,Alabama,5,Number,"1,063,815","+/-4,485","30,705","+/-1,006","682,765","+/-3,684","314,820","+/-2,560","4,880",+/-480,"15,040",+/-682,375,+/-131,"15,225","+/-1,118",0,"Total, all occupations"
EEOALL1R,04000US01,Alabama,6,Percent,47.8,+/-0.1,1.4,+/-0.1,30.7,+/-0.1,14.2,+/-0.1,0.2,+/-0.1,0.7,+/-0.1,0,+/-0.1,0.7,+/-0.1,0,"Total, all occupations"
EEOALL1R,04000US02,Alaska,0.9,"Total, both sexes",,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US02,Alaska,1,Number,"379,220","+/-1,831","23,615",+/-621,"247,980","+/-1,730","12,000",+/-577,"43,000",+/-905,"25,955",+/-822,"4,270",+/-398,"22,400","+/-1,076",0,"Total, all occupations"
EEOALL1R,04000US02,Alaska,2,Percent,100,+/-0.1,6.2,+/-0.2,65.4,+/-0.3,3.2,+/-0.2,11.3,+/-0.2,6.8,+/-0.2,1.1,+/-0.1,5.9,+/-0.3,0,"Total, all occupations"
EEOALL1R,04000US02,Alaska,2.9,Male,,,,,,,,,,,,,,,,,0,"Total, all occupations"
EEOALL1R,04000US02,Alaska,3,Number,"205,775","+/-1,494","12,880",+/-492,"137,825","+/-1,274","6,990",+/-460,"21,550",+/-555,"12,420",+/-447,"2,210",+/-263,"11,900",+/-775,0,"Total, all occupations"
EEOALL1R,04000US02,Alaska,4,Percent,54.3,+/-0.3,3.4,+/-0.1,36.3,+/-0.3,1.8,+/-0.1,5.7,+/-0.2,3.3,+/-0.1,0.6,+/-0.1,3.1,+/-0.2,0,"Total, all occupations"
