CBSA Code,Metropolitan Division Code,CSA Code,CBSA Title,Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code,Central/Outlying County
10180,,,"Abilene, TX",,,Callahan County,Texas,48,059,Outlying
10180,,,"Abilene, TX",,,Jones County,Texas,48,253,Outlying
10180,,,"Abilene, TX",,,Taylor County,Texas,48,441,Central
10380,,,"Aguadilla-Isabela, PR",,,Aguada Municipio,Puerto Rico,72,003,Central
10380,,,"Aguadilla-Isabela, PR",,,Aguadilla Municipio,Puerto Rico,72,005,Central
10380,,,"Aguadilla-Isabela, PR",,,Añasco Municipio,Puerto Rico,72,011,Central
10380,,,"Aguadilla-Isabela, PR",,,Isabela Municipio,Puerto Rico,72,071,Central
10380,,,"Aguadilla-Isabela, PR",,,Lares Municipio,Puerto Rico,72,081,Central
10380,,,"Aguadilla-Isabela, PR",,,Moca Municipio,Puerto Rico,72,099,Central
10380,,,"Aguadilla-Isabela, PR",,,Rincón Municipio,Puerto Rico,72,117,Central
10380,,,"Aguadilla-Isabela, PR",,,San Sebastián Municipio,Puerto Rico,72,131,Central
10380,,,"Aguadilla-Isabela, PR",,,Utuado Municipio,Puerto Rico,72,141,Central
10420,,184,"Akron, OH",,"Cleveland-Akron-Canton, OH",Portage County,Ohio,39,133,Central
10420,,184,"Akron, OH",,"Cleveland-Akron-Canton, OH",Summit County,Ohio,39,153,Central
10500,,,"Albany, GA",,,Dougherty County,Georgia,13,095,Central
10500,,,"Albany, GA",,,Lee County,Georgia,13,177,Central
10500,,,"Albany, GA",,,Terrell County,Georgia,13,273,Outlying
10500,,,"Albany, GA",,,Worth County,Georgia,13,321,Outlying
10540,,440,"Albany-Lebanon, OR",,"Portland-Vancouver-Salem, OR-WA",Linn County,Oregon,41,043,Central
10580,,104,"Albany-Schenectady-Troy, NY",,"Albany-Schenectady, NY",Albany County,New York,36,001,Central
10580,,104,"Albany-Schenectady-Troy, NY",,"Albany-Schenectady, NY",Rensselaer County,New York,36,083,Central
10580,,104,"Albany-Schenectady-Troy, NY",,"Albany-Schenectady, NY",Saratoga County,New York,36,091,Central
10580,,104,"Albany-Schenectady-Troy, NY",,"Albany-Schenectady, NY",Schenectady County,New York,36,093,Central
10580,,104,"Albany-Schenectady-Troy, NY",,"Albany-Schenectady, NY",Schoharie County,New York,36,095,Outlying
10740,,106,"Albuquerque, NM",,"Albuquerque-Santa Fe-Las Vegas, NM",Bernalillo County,New Mexico,35,001,Central
10740,,106,"Albuquerque, NM",,"Albuquerque-Santa Fe-Las Vegas, NM",Sandoval County,New Mexico,35,043,Central
10740,,106,"Albuquerque, NM",,"Albuquerque-Santa Fe-Las Vegas, NM",Torrance County,New Mexico,35,057,Outlying
10740,,106,"Albuquerque, NM",,"Albuquerque-Santa Fe-Las Vegas, NM",Valencia County,New Mexico,35,061,Outlying
10780,,,"Alexandria, LA",,,Grant Parish,Louisiana,22,043,Outlying
10780,,,"Alexandria, LA",,,Rapides Parish,Louisiana,22,079,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",,,Warren County,New Jersey,34,041,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",,,Carbon County,Pennsylvania,42,025,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",,,Lehigh County,Pennsylvania,42,077,Central
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",,,Northampton County,Pennsylvania,42,095,Central
11020,,107,"Altoona, PA",,"Altoona-Huntingdon, PA",Blair County,Pennsylvania,42,013,Central
11100,,108,"Amarillo, TX",,"Amarillo-Pampa-Borger, TX",Armstrong County,Texas,48,011,Outlying
11100,,108,"Amarillo, TX",,"Amarillo-Pampa-Borger, TX",Carson County,Texas,48,065,Outlying
11100,,108,"Amarillo, TX",,"Amarillo-Pampa-Borger, TX",Oldham County,Texas,48,359,Outlying
11100,,108,"Amarillo, TX",,"Amarillo-Pampa-Borger, TX",Potter County,Texas,48,375,Central
11100,,108,"Amarillo, TX",,"Amarillo-Pampa-Borger, TX",Randall County,Texas,48,381,Central
11180,,218,"Ames, IA",,"Des Moines-Ames-West Des Moines, IA",Boone County,Iowa,19,015,Outlying
11180,,218,"Ames, IA",,"Des Moines-Ames-West Des Moines, IA",Story County,Iowa,19,169,Central
11260,,,"Anchorage, AK",,,Anchorage Municipality,Alaska,02,020,Central
11260,,,"Anchorage, AK",,,Matanuska-Susitna Borough,Alaska,02,170,Outlying
11460,,220,"Ann Arbor, MI",,"Detroit-Warren-Ann Arbor, MI",Washtenaw County,Michigan,26,161,Central
11500,,,"Anniston-Oxford, AL",,,Calhoun County,Alabama,01,015,Central
11540,,118,"Appleton, WI",,"Appleton-Oshkosh-Neenah, WI",Calumet County,Wisconsin,55,015,Central
11540,,118,"Appleton, WI",,"Appleton-Oshkosh-Neenah, WI",Outagamie County,Wisconsin,55,087,Central
11640,,490,"Arecibo, PR",,"San Juan-Bayamón, PR",Arecibo Municipio,Puerto Rico,72,013,Central
11640,,490,"Arecibo, PR",,"San Juan-Bayamón, PR",Camuy Municipio,Puerto Rico,72,027,Central
11640,,490,"Arecibo, PR",,"San Juan-Bayamón, PR",Hatillo Municipio,Puerto Rico,72,065,Central
11640,,490,"Arecibo, PR",,"San Juan-Bayamón, PR",Quebradillas Municipio,Puerto Rico,72,115,Central
11700,,120,"Asheville, NC",,"Asheville-Marion-Brevard, NC",Buncombe County,North Carolina,37,021,Central
