GEOID,NAME,POPCOUNT
05000US01005,"Barbour County, Alabama",25782
05000US01007,"Bibb County, Alabama",22527
05000US01011,"Bullock County, Alabama",10352
05000US01013,"Butler County, Alabama",20025
05000US01017,"Chambers County, Alabama",33826
05000US01019,"Cherokee County, Alabama",25853
05000US01021,"Chilton County, Alabama",43930
05000US01023,"Choctaw County, Alabama",13075
05000US01025,"Clarke County, Alabama",24387
05000US01027,"Clay County, Alabama",13378
05000US01029,"Cleburne County, Alabama",14938
05000US01035,"Conecuh County, Alabama",12514
05000US01037,"Coosa County, Alabama",10855
05000US01039,"Covington County, Alabama",37351
05000US01041,"Crenshaw County, Alabama",13865
05000US01045,"Dale County, Alabama",49255
05000US01047,"Dallas County, Alabama",40029
05000US01053,"Escambia County, Alabama",37328
05000US01057,"Fayette County, Alabama",16585
05000US01059,"Franklin County, Alabama",31542
05000US01061,"Geneva County, Alabama",26491
05000US01063,"Greene County, Alabama",8426
05000US01065,"Hale County, Alabama",14887
05000US01067,"Henry County, Alabama",17124
05000US01075,"Lamar County, Alabama",13933
05000US01079,"Lawrence County, Alabama",33171
05000US01085,"Lowndes County, Alabama",10236
05000US01087,"Macon County, Alabama",19054
05000US01091,"Marengo County, Alabama",19538
05000US01093,"Marion County, Alabama",29965
05000US01099,"Monroe County, Alabama",21512
05000US01105,"Perry County, Alabama",9486
05000US01107,"Pickens County, Alabama",20298
05000US01109,"Pike County, Alabama",33403
05000US01111,"Randolph County, Alabama",22574
05000US01119,"Sumter County, Alabama",12985
05000US01123,"Tallapoosa County, Alabama",40636
05000US01129,"Washington County, Alabama",16643
05000US01131,"Wilcox County, Alabama",10809
05000US01133,"Winston County, Alabama",23875
05000US02013,"Aleutians East Borough, Alaska",3425
05000US02016,"Aleutians West Census Area, Alaska",5750
05000US02050,"Bethel Census Area, Alaska",18040
05000US02060,"Bristol Bay Borough, Alaska",890
05000US02068,"Denali Borough, Alaska",2232
05000US02070,"Dillingham Census Area, Alaska",4975
05000US02100,"Haines Borough, Alaska",2518
05000US02105,"Hoonah-Angoon Census Area, Alaska",2132
05000US02110,"Juneau City and Borough, Alaska",32330
05000US02130,"Ketchikan Gateway Borough, Alaska",13804
05000US02150,"Kodiak Island Borough, Alaska",13649
05000US02158,"Kusilvak Census Area, Alaska",8198
05000US02164,"Lake and Peninsula Borough, Alaska",1375
05000US02180,"Nome Census Area, Alaska",9925
05000US02185,"North Slope Borough, Alaska",9797
05000US02188,"Northwest Arctic Borough, Alaska",7734
05000US02195,"Petersburg Borough, Alaska",3255
05000US02198,"Prince of Wales-Hyder Census Area, Alaska",6474
05000US02220,"Sitka City and Borough, Alaska",8738
05000US02230,"Skagway Municipality, Alaska",1061
05000US02240,"Southeast Fairbanks Census Area, Alaska",6876
05000US02261,"Valdez-Cordova Census Area, Alaska",9301
05000US02275,"Wrangell City and Borough, Alaska",2484
05000US02282,"Yakutat City and Borough, Alaska",689
05000US02290,"Yukon-Koyukuk Census Area, Alaska",5415
05000US04009,"Graham County, Arizona",37879
05000US04011,"Greenlee County, Arizona",9504
05000US04012,"La Paz County, Arizona",20701
05000US04023,"Santa Cruz County, Arizona",46584
05000US05001,"Arkansas County, Arkansas",18124
05000US05003,"Ashley County, Arkansas",20537
05000US05005,"Baxter County, Arkansas",41219
05000US05009,"Boone County, Arkansas",37288
05000US05011,"Bradley County, Arkansas",10948
05000US05013,"Calhoun County, Arkansas",5202
05000US05015,"Carroll County, Arkansas",27887
05000US05017,"Chicot County, Arkansas",10826
05000US05019,"Clark County, Arkansas",22385
05000US05021,"Clay County, Arkansas",15061
05000US05023,"Cleburne County, Arkansas",25230
05000US05025,"Cleveland County, Arkansas",8226
05000US05027,"Columbia County, Arkansas",23892
05000US05029,"Conway County, Arkansas",20906
05000US05035,"Crittenden County, Arkansas",49013
05000US05037,"Cross County, Arkansas",16998
05000US05039,"Dallas County, Arkansas",7432
05000US05041,"Desha County, Arkansas",11887
05000US05043,"Drew County, Arkansas",18502
05000US05047,"Franklin County, Arkansas",17780
05000US05049,"Fulton County, Arkansas",12139
05000US05053,"Grant County, Arkansas",18086
05000US05055,"Greene County, Arkansas",44623
05000US05057,"Hempstead County, Arkansas",22018
05000US05059,"Hot Spring County, Arkansas",33520
05000US05061,"Howard County, Arkansas",13389
05000US05063,"Independence County, Arkansas",37264
05000US05065,"Izard County, Arkansas",13559
05000US05067,"Jackson County, Arkansas",17225
05000US05071,"Johnson County, Arkansas",26291
05000US05073,"Lafayette County, Arkansas",6915
05000US05075,"Lawrence County, Arkansas",16669
05000US05077,"Lee County, Arkansas",9398
05000US05079,"Lincoln County, Arkansas",13695
05000US05081,"Little River County, Arkansas",12417
05000US05083,"Logan County, Arkansas",21757
05000US05087,"Madison County, Arkansas",16076
05000US05089,"Marion County, Arkansas",16438
05000US05091,"Miller County, Arkansas",43759
05000US05093,"Mississippi County, Arkansas",42831
05000US05095,"Monroe County, Arkansas",7249
05000US05097,"Montgomery County, Arkansas",8993
05000US05099,"Nevada County, Arkansas",8440
05000US05101,"Newton County, Arkansas",7848
05000US05103,"Ouachita County, Arkansas",24106
05000US05105,"Perry County, Arkansas",10322
05000US05107,"Phillips County, Arkansas",19034
05000US05109,"Pike County, Arkansas",10808
05000US05111,"Poinsett County, Arkansas",24054
05000US05113,"Polk County, Arkansas",20163
05000US05117,"Prairie County, Arkansas",8244
05000US05121,"Randolph County, Arkansas",17603
05000US05123,"St. Francis County, Arkansas",26294
05000US05127,"Scott County, Arkansas",10442
05000US05129,"Searcy County, Arkansas",7923
05000US05133,"Sevier County, Arkansas",17193
05000US05135,"Sharp County, Arkansas",17043
05000US05137,"Stone County, Arkansas",12446
05000US05139,"Union County, Arkansas",39732
05000US05141,"Van Buren County, Arkansas",16684
05000US05147,"Woodruff County, Arkansas",6660
05000US05149,"Yell County, Arkansas",21573
05000US06003,"Alpine County, California",1146
05000US06005,"Amador County, California",37829
05000US06009,"Calaveras County, California",45235
05000US06011,"Colusa County, California",21464
05000US06015,"Del Norte County, California",27424
05000US06021,"Glenn County, California",27897
05000US06027,"Inyo County, California",18085
05000US06035,"Lassen County, California",31185
05000US06043,"Mariposa County, California",17540
05000US06049,"Modoc County, California",8938
05000US06051,"Mono County, California",14174
05000US06063,"Plumas County, California",18699
05000US06091,"Sierra County, California",2930
05000US06093,"Siskiyou County, California",43540
05000US06105,"Trinity County, California",12862
05000US08003,"Alamosa County, Colorado",16444
05000US08007,"Archuleta County, Colorado",12908
05000US08009,"Baca County, Colorado",3563
05000US08011,"Bent County, Colorado",5809
05000US08015,"Chaffee County, Colorado",19164
05000US08017,"Cheyenne County, Colorado",2039
05000US08019,"Clear Creek County, Colorado",9379
05000US08021,"Conejos County, Colorado",8142
05000US08023,"Costilla County, Colorado",3687
05000US08025,"Crowley County, Colorado",5630
05000US08027,"Custer County, Colorado",4640
05000US08029,"Delta County, Colorado",30346
05000US08033,"Dolores County, Colorado",1841
05000US08039,"Elbert County, Colorado",25162
05000US08043,"Fremont County, Colorado",47002
05000US08047,"Gilpin County, Colorado",5924
05000US08049,"Grand County, Colorado",15066
05000US08051,"Gunnison County, Colorado",16537
05000US08053,"Hinsdale County, Colorado",878
05000US08055,"Huerfano County, Colorado",6583
05000US08057,"Jackson County, Colorado",1296
05000US08061,"Kiowa County, Colorado",1449
05000US08063,"Kit Carson County, Colorado",7635
05000US08065,"Lake County, Colorado",7585
05000US08071,"Las Animas County, Colorado",14179
05000US08073,"Lincoln County, Colorado",5548
05000US08075,"Logan County, Colorado",21689
05000US08079,"Mineral County, Colorado",823
05000US08081,"Moffat County, Colorado",13060
05000US08083,"Montezuma County, Colorado",25909
05000US08085,"Montrose County, Colorado",41268
05000US08087,"Morgan County, Colorado",28257
05000US08089,"Otero County, Colorado",18325
05000US08091,"Ouray County, Colorado",4722
05000US08093,"Park County, Colorado",17392
05000US08095,"Phillips County, Colorado",4318
05000US08097,"Pitkin County, Colorado",17909
05000US08099,"Prowers County, Colorado",12052
05000US08103,"Rio Blanco County, Colorado",6465
05000US08105,"Rio Grande County, Colorado",11351
05000US08107,"Routt County, Colorado",24874
05000US08109,"Saguache County, Colorado",6468
05000US08111,"San Juan County, Colorado",544
05000US08113,"San Miguel County, Colorado",7968
05000US08115,"Sedgwick County, Colorado",2350
05000US08117,"Summit County, Colorado",30429
05000US08119,"Teller County, Colorado",24113
05000US08121,"Washington County, Colorado",4840
05000US08125,"Yuma County, Colorado",10069
05000US12003,"Baker County, Florida",27785
05000US12007,"Bradford County, Florida",26979
05000US12013,"Calhoun County, Florida",14444
05000US12027,"DeSoto County, Florida",36399
05000US12029,"Dixie County, Florida",16437
05000US12037,"Franklin County, Florida",11736
05000US12039,"Gadsden County, Florida",46017
05000US12041,"Gilchrist County, Florida",17615
05000US12043,"Glades County, Florida",13363
05000US12045,"Gulf County, Florida",16055
05000US12047,"Hamilton County, Florida",14269
05000US12049,"Hardee County, Florida",27228
05000US12051,"Hendry County, Florida",40127
05000US12059,"Holmes County, Florida",19430
05000US12063,"Jackson County, Florida",48472
05000US12065,"Jefferson County, Florida",14105
05000US12067,"Lafayette County, Florida",8744
05000US12075,"Levy County, Florida",39961
05000US12077,"Liberty County, Florida",8365
05000US12079,"Madison County, Florida",18474
05000US12093,"Okeechobee County, Florida",40572
05000US12121,"Suwannee County, Florida",43924
05000US12123,"Taylor County, Florida",22098
05000US12125,"Union County, Florida",15239
05000US12129,"Wakulla County, Florida",31877
05000US12133,"Washington County, Florida",24566
05000US13001,"Appling County, Georgia",18454
05000US13003,"Atkinson County, Georgia",8265
05000US13005,"Bacon County, Georgia",11228
05000US13007,"Baker County, Georgia",3189
05000US13009,"Baldwin County, Georgia",45286
05000US13011,"Banks County, Georgia",18510
05000US13017,"Ben Hill County, Georgia",17154
05000US13019,"Berrien County, Georgia",19025
05000US13023,"Bleckley County, Georgia",12775
05000US13025,"Brantley County, Georgia",18561
05000US13027,"Brooks County, Georgia",15622
05000US13029,"Bryan County, Georgia",35885
05000US13033,"Burke County, Georgia",22550
05000US13035,"Butts County, Georgia",23750
05000US13037,"Calhoun County, Georgia",6428
05000US13043,"Candler County, Georgia",10827
05000US13049,"Charlton County, Georgia",12983
05000US13053,"Chattahoochee County, Georgia",10767
05000US13055,"Chattooga County, Georgia",24817
05000US13061,"Clay County, Georgia",3001
05000US13065,"Clinch County, Georgia",6743
05000US13069,"Coffee County, Georgia",42961
05000US13071,"Colquitt County, Georgia",45606
05000US13075,"Cook County, Georgia",17184
05000US13079,"Crawford County, Georgia",12344
05000US13081,"Crisp County, Georgia",22846
05000US13083,"Dade County, Georgia",16227
05000US13085,"Dawson County, Georgia",23861
05000US13087,"Decatur County, Georgia",26833
05000US13091,"Dodge County, Georgia",20919
05000US13093,"Dooly County, Georgia",13905
05000US13099,"Early County, Georgia",10348
05000US13101,"Echols County, Georgia",3994
05000US13105,"Elbert County, Georgia",19212
05000US13107,"Emanuel County, Georgia",22499
05000US13109,"Evans County, Georgia",10727
05000US13111,"Fannin County, Georgia",24925
05000US13119,"Franklin County, Georgia",22514
05000US13123,"Gilmer County, Georgia",29922
05000US13125,"Glascock County, Georgia",3009
05000US13131,"Grady County, Georgia",24926
05000US13133,"Greene County, Georgia",16976
05000US13137,"Habersham County, Georgia",44289
05000US13141,"Hancock County, Georgia",8535
05000US13143,"Haralson County, Georgia",28956
05000US13145,"Harris County, Georgia",33590
05000US13147,"Hart County, Georgia",25631
05000US13149,"Heard County, Georgia",11677
